from_stop_id,to_stop_id,transfer_type,min_transfer_time
stop_point:SP_1221,stop_point:SP_1221,2,180
stop_point:SP_1221,stop_point:SP_2189,2,180
stop_point:SP_1222,stop_point:SP_1222,2,180
stop_point:SP_1222,stop_point:SP_787,2,180
stop_point:SP_1223,stop_point:SP_1223,2,180
stop_point:SP_1223,stop_point:SP_925,2,180
stop_point:SP_1224,stop_point:SP_1224,2,180
stop_point:SP_1224,stop_point:SP_2317,2,180
stop_point:SP_1224,stop_point:SP_2606,2,180
stop_point:SP_1224,stop_point:SP_2988,2,180
stop_point:SP_1224,stop_point:SP_336,2,180
stop_point:SP_1224,stop_point:SP_3772,2,180
stop_point:SP_1224,stop_point:SP_5259,2,180
stop_point:SP_1224,stop_point:SP_5384,2,180
stop_point:SP_1225,stop_point:SP_1021,2,180
stop_point:SP_1225,stop_point:SP_1225,2,180
stop_point:SP_1227,stop_point:SP_1227,2,180
stop_point:SP_1227,stop_point:SP_2816,2,180
stop_point:SP_1227,stop_point:SP_3534,2,180
stop_point:SP_1227,stop_point:SP_371,2,180
stop_point:SP_1227,stop_point:SP_3942,2,180
stop_point:SP_1228,stop_point:SP_1228,2,180
stop_point:SP_1228,stop_point:SP_1776,2,180
stop_point:SP_1228,stop_point:SP_1808,2,180
stop_point:SP_1229,stop_point:SP_1229,2,180
stop_point:SP_1229,stop_point:SP_3272,2,180
stop_point:SP_123,stop_point:SP_123,2,180
stop_point:SP_123,stop_point:SP_2999,2,180
stop_point:SP_1230,stop_point:SP_1230,2,180
stop_point:SP_1230,stop_point:SP_2006,2,180
stop_point:SP_1232,stop_point:SP_1232,2,180
stop_point:SP_1232,stop_point:SP_2040,2,180
stop_point:SP_1233,stop_point:SP_1233,2,180
stop_point:SP_1233,stop_point:SP_3989,2,180
stop_point:SP_1234,stop_point:SP_1234,2,180
stop_point:SP_1234,stop_point:SP_699,2,180
stop_point:SP_1235,stop_point:SP_1235,2,180
stop_point:SP_1235,stop_point:SP_955,2,180
stop_point:SP_1238,stop_point:SP_1238,2,180
stop_point:SP_1238,stop_point:SP_3331,2,180
stop_point:SP_124,stop_point:SP_124,2,180
stop_point:SP_124,stop_point:SP_1308,2,180
stop_point:SP_1240,stop_point:SP_1240,2,180
stop_point:SP_1240,stop_point:SP_672,2,180
stop_point:SP_1241,stop_point:SP_1241,2,180
stop_point:SP_1241,stop_point:SP_2538,2,180
stop_point:SP_1242,stop_point:SP_1242,2,180
stop_point:SP_1242,stop_point:SP_1562,2,180
stop_point:SP_1242,stop_point:SP_1791,2,180
stop_point:SP_1244,stop_point:SP_1244,2,180
stop_point:SP_1244,stop_point:SP_1298,2,180
stop_point:SP_1244,stop_point:SP_3383,2,180
stop_point:SP_1244,stop_point:SP_3836,2,180
stop_point:SP_1245,stop_point:SP_1245,2,180
stop_point:SP_1245,stop_point:SP_185,2,180
stop_point:SP_1245,stop_point:SP_4456,2,180
stop_point:SP_1245,stop_point:SP_4458,2,180
stop_point:SP_1247,stop_point:SP_1247,2,180
stop_point:SP_1247,stop_point:SP_3438,2,180
stop_point:SP_1248,stop_point:SP_1248,2,180
stop_point:SP_1248,stop_point:SP_4785,2,180
stop_point:SP_1249,stop_point:SP_1249,2,180
stop_point:SP_1249,stop_point:SP_1831,2,180
stop_point:SP_1249,stop_point:SP_2054,2,180
stop_point:SP_1249,stop_point:SP_2701,2,180
stop_point:SP_1249,stop_point:SP_3055,2,180
stop_point:SP_1249,stop_point:SP_319,2,180
stop_point:SP_1249,stop_point:SP_3546,2,180
stop_point:SP_1249,stop_point:SP_4007,2,180
stop_point:SP_1249,stop_point:SP_4009,2,180
stop_point:SP_1249,stop_point:SP_912,2,180
stop_point:SP_125,stop_point:SP_125,2,180
stop_point:SP_125,stop_point:SP_929,2,180
stop_point:SP_1250,stop_point:SP_1250,2,180
stop_point:SP_1250,stop_point:SP_3941,2,180
stop_point:SP_1250,stop_point:SP_515,2,180
stop_point:SP_1251,stop_point:SP_1251,2,180
stop_point:SP_1251,stop_point:SP_4723,2,180
stop_point:SP_1252,stop_point:SP_1252,2,180
stop_point:SP_1252,stop_point:SP_693,2,180
stop_point:SP_1253,stop_point:SP_1253,2,180
stop_point:SP_1253,stop_point:SP_3121,2,180
stop_point:SP_1256,stop_point:SP_1104,2,180
stop_point:SP_1256,stop_point:SP_1121,2,180
stop_point:SP_1256,stop_point:SP_1256,2,180
stop_point:SP_1256,stop_point:SP_2843,2,180
stop_point:SP_1259,stop_point:SP_1259,2,180
stop_point:SP_1259,stop_point:SP_1653,2,180
stop_point:SP_1259,stop_point:SP_3216,2,180
stop_point:SP_126,stop_point:SP_126,2,180
stop_point:SP_126,stop_point:SP_2695,2,180
